,artist_name,track_name,album_name,release_date,artist_popularity,track_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Hit,Dance_miss,Energy_miss,Valence_miss,all_popular
35,Drake,Massive,"Honestly, Nevermind",2022-06-17,95,85,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,audio_features,28JBD8p18xNuOfyV7Cotdn,spotify:track:28JBD8p18xNuOfyV7Cotdn,https://api.spotify.com/v1/tracks/28JBD8p18xNuOfyV7Cotdn,https://api.spotify.com/v1/audio-analysis/28JBD8p18xNuOfyV7Cotdn,336924,3,0,1,1,1,all_popular
36,KAROL G,PROVENZA,PROVENZA,2022-04-22,86,95,"['latin', 'reggaeton', 'reggaeton colombiano']",0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,audio_features,7dSZ6zGTQx66c2GF91xCrb,spotify:track:7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/tracks/7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/audio-analysis/7dSZ6zGTQx66c2GF91xCrb,210200,4,0,0,1,1,all_popular
37,Tate McRae,she's all i wanna be,she's all i wanna be,2022-02-04,79,84,['pop'],0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,audio_features,0IuVhCflrQPMGRrOyoY5RW,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/audio-analysis/0IuVhCflrQPMGRrOyoY5RW,206772,4,0,1,1,1,all_popular
38,Charlie Puth,Light Switch,Light Switch,2022-01-20,83,85,"['dance pop', 'pop', 'viral pop']",0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,audio_features,1BSMpVGWs3v5BZKnAQziAc,spotify:track:1BSMpVGWs3v5BZKnAQziAc,https://api.spotify.com/v1/tracks/1BSMpVGWs3v5BZKnAQziAc,https://api.spotify.com/v1/audio-analysis/1BSMpVGWs3v5BZKnAQziAc,185681,4,0,1,1,0,all_popular
39,Dove Cameron,Boyfriend,Boyfriend,2022-02-11,73,87,"['pop', 'post-teen pop']",0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,audio_features,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,153000,3,0,1,1,1,all_popular
40,Future,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,2022-04-29,87,90,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4,0,1,1,1,all_popular
41,James Hype,Ferrari,Ferrari,2022-04-01,73,90,"['deep groove house', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']",0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,audio_features,4zN21mbAuaD0WqtmaTZZeP,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4,0,0,1,1,all_popular
42,Latto,Big Energy,777,2022-03-25,73,77,"['pop', 'trap queen']",0.937,0.793,11,-4.431,0,0.115,0.0453,0.0,0.341,0.794,106.022,audio_features,4pi1G1x8tl9VfdD9bL3maT,spotify:track:4pi1G1x8tl9VfdD9bL3maT,https://api.spotify.com/v1/tracks/4pi1G1x8tl9VfdD9bL3maT,https://api.spotify.com/v1/audio-analysis/4pi1G1x8tl9VfdD9bL3maT,172540,4,1,0,0,0,all_popular
43,Glass Animals,Heat Waves,Dreamland,2020-08-07,80,85,"['gauze pop', 'indietronica', 'shiver pop']",0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4,0,0,1,1,all_popular
44,Måneskin,SUPERMODEL,SUPERMODEL,2022-05-13,78,86,"['indie rock italiano', 'italian pop']",0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,audio_features,63WuQOXohQIxOxIFA2K7bR,spotify:track:63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/tracks/63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/audio-analysis/63WuQOXohQIxOxIFA2K7bR,148064,4,0,1,0,0,all_popular
45,Ed Sheeran,Shivers,=,2021-10-29,90,89,"['pop', 'uk pop']",0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853,4,1,0,0,0,all_popular
46,Stephen Sanchez,Until I Found You,Until I Found You,2021-09-01,74,91,['gen z singer-songwriter'],0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,audio_features,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/audio-analysis/0T5iIrXA4p5GsubkhuBIKV,177720,3,0,1,1,1,all_popular
47,Elley Duhé,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,2020-01-10,75,92,"['alt z', 'pop']",0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3,0,1,1,1,all_popular
48,Elton John,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),2021-08-13,82,89,"['glam rock', 'mellow gold', 'piano rock']",0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4,1,0,0,0,all_popular
49,Shakira,Te Felicito,Te Felicito,2022-04-21,85,94,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,audio_features,2rurDawMfoKP4uHyb2kJBt,spotify:track:2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/tracks/2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/audio-analysis/2rurDawMfoKP4uHyb2kJBt,172235,4,0,1,1,1,all_popular
50,Marshmello,Numb,Numb,2022-06-10,82,87,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,audio_features,10xV5l9nhLvFpR8mqzs0bL,spotify:track:10xV5l9nhLvFpR8mqzs0bL,https://api.spotify.com/v1/tracks/10xV5l9nhLvFpR8mqzs0bL,https://api.spotify.com/v1/audio-analysis/10xV5l9nhLvFpR8mqzs0bL,155589,4,0,0,1,1,all_popular
51,Joel Corry,HISTORY,HISTORY,2022-08-05,75,67,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",0.674,0.86,8,-3.318,1,0.0369,0.155,3.21e-06,0.359,0.771,122.975,audio_features,5IfHQilcjciOxJQBFCNCCN,spotify:track:5IfHQilcjciOxJQBFCNCCN,https://api.spotify.com/v1/tracks/5IfHQilcjciOxJQBFCNCCN,https://api.spotify.com/v1/audio-analysis/5IfHQilcjciOxJQBFCNCCN,176610,4,0,1,0,1,all_popular
